mechanism,band,environment,condition,bandwidth_mhz,test,phase,log_file,remote_host,remote_port,reported_receiver_mbps,reported_jitter_ms,reported_lost_datagrams,reported_total_datagrams,reported_loss_pct,phase_rate_per_sta_mbps,phase_rate_aggregate_mbps,phase_rate_role,phase_reference_rate_per_sta_mbps,phase_reference_rate_aggregate_mbps,reference_load_per_sta_mbps,reference_load_aggregate_mbps,reference_load_source,load_resolution_status,load_resolution_note,udp_ffmpeg_difference_pct,tcp_achieved_sender_mbps,tcp_achieved_receiver_mbps,tcp_sender_as_pct_of_reference,tcp_receiver_as_pct_of_reference,udp_offered_sender_mbps,udp_achieved_receiver_mbps,udp_reported_jitter_ms,udp_reported_loss_pct,ffmpeg_target_rate_mbps,nominal_test_load_per_sta_mbps,nominal_test_load_aggregate_mbps,tcp_sender_rate_mbps,tcp_receiver_rate_mbps,udp_sender_rate_mbps,udp_receiver_rate_mbps,source_test_dir,configuration_name,operating_mode,global_results_dir
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1\pingsFmpeg\reporte_RECEPTOR_rep_1.txt,,,10.239799999999999,,,,,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,iperf_tcp,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1\pingsIperf\iperf_tcp_rep_1.log,192.168.1.12,5202,10.0,,,,,10.0,20.0,achieved_tcp_sender_throughput,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,iperf_udp,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1\pingsIperf\iperf_udp_rep_1.log,192.168.1.12,5202,10.0,0.818,0,155389,0.0,10.0,20.0,controlled_udp_offered_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,4,ffmpeg_udp,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 4\pingsFmpeg\reporte_RECEPTOR_rep_1.txt,,,20.434099999999997,,,,,20.0,40.0,ffmpeg_sdp_target_rate,20.0,40.0,20.0,40.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (20 Mbps/STA). ffmpeg target=20 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,13.5,13.5,67.5,67.5,20.0,20.0,0.624,0.0,20.0,20.0,40.0,13.5,13.5,20.0,20.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 4,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,4,iperf_tcp,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 4\pingsIperf\iperf_tcp_rep_1.log,192.168.1.12,5202,13.5,,,,,13.5,27.0,achieved_tcp_sender_throughput,13.5,27.0,20.0,40.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (20 Mbps/STA). ffmpeg target=20 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,13.5,13.5,67.5,67.5,20.0,20.0,0.624,0.0,20.0,20.0,40.0,13.5,13.5,20.0,20.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 4,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,4,iperf_udp,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 4\pingsIperf\iperf_udp_rep_1.log,192.168.1.12,5202,20.0,0.624,0,310788,0.0,20.0,40.0,controlled_udp_offered_rate,20.0,40.0,20.0,40.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (20 Mbps/STA). ffmpeg target=20 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,13.5,13.5,67.5,67.5,20.0,20.0,0.624,0.0,20.0,20.0,40.0,13.5,13.5,20.0,20.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 4,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,6,ffmpeg_udp,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 6\pingsFmpeg\reporte_RECEPTOR_rep_1.txt,,,23.42,,,,,30.0,60.0,ffmpeg_sdp_target_rate,30.0,60.0,30.0,60.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (30 Mbps/STA). ffmpeg target=30 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,9.16,9.15,30.533333333333335,30.5,30.0,29.9,0.413,0.22,30.0,30.0,60.0,9.16,9.15,30.0,29.9,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 6,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,6,iperf_tcp,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 6\pingsIperf\iperf_tcp_rep_1.log,192.168.1.12,5202,9.15,,,,,9.16,18.32,achieved_tcp_sender_throughput,9.16,18.32,30.0,60.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (30 Mbps/STA). ffmpeg target=30 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,9.16,9.15,30.533333333333335,30.5,30.0,29.9,0.413,0.22,30.0,30.0,60.0,9.16,9.15,30.0,29.9,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 6,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,6,iperf_udp,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 6\pingsIperf\iperf_udp_rep_1.log,192.168.1.12,5202,29.9,0.413,1016,466168,0.22,30.0,60.0,controlled_udp_offered_rate,30.0,60.0,30.0,60.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (30 Mbps/STA). ffmpeg target=30 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,9.16,9.15,30.533333333333335,30.5,30.0,29.9,0.413,0.22,30.0,30.0,60.0,9.16,9.15,30.0,29.9,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 6,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,7,ffmpeg_udp,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 7\pingsFmpeg\reporte_RECEPTOR_rep_1.txt,,,33.211400000000005,,,,,40.0,80.0,ffmpeg_sdp_target_rate,40.0,80.0,40.0,80.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (40 Mbps/STA). ffmpeg target=40 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,8.03,7.97,20.074999999999996,19.925,40.0,24.6,0.259,38.0,40.0,40.0,80.0,8.03,7.97,40.0,24.6,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 7,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
